Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"ООО ЧОП ""ВЕПРЬ-332""";ООО ЧОП «ВЕПРЬ-332»;ООО;7708016025;772501001;;;ЮЛ;115280, г. Москва, ул. Ленинская Слобода, д.4;Да;Нет;;;;;;;
"ЗАО ""Торговый Дом ТРАКТ""";"ЗАО ""Торговый Дом ТРАКТ""";ЗАО;7723627614;772301001;;;ЮЛ;129301, г.Москва, ул. Космонавтов, 13;Да;Нет;;;;;;;
"ОАО ""Газэнергобанк""";"ОАО ""Газэнергобанк""";ООО;4026006420;402801001;;;ЮЛ;248030, Россия, Калужская обл., г. Калуга, ул. Плеханова,  дом № 4;Да;Нет;;;;;;;
"ООО МЦ ""СТП""";"ООО МЦ ""СТП""";ООО;1658117352;165801001;;;ЮЛ;420095, г.Казань, ул.Восход, д.2а;Да;Нет;;;;;;;
"ООО ""Нита Сервис""";ООО «Нита Сервис»;ООО;7715141387;771601001;;;ЮЛ;Россия,129329, Москва, Игарский проезд, д.4;Да;Нет;;;;;;;
"ООО ""ЭТМ""";"ООО ""ЭТМ""";ООО;7804309031;783450001;;;ЮЛ;195220, г.Санкт-Петербург, Гражданский пр-кт, д.41, лит.К;Да;Нет;;;;;;;
"ООО ""Стайл Принт""";"ООО ""Стайл Принт""";ООО;4824016084;482401001;;;ЮЛ;395600, г.Липецк, ул.Первомайская, д.35;Да;Нет;;;;;;;
"ООО ""Спектр-Гарант""";"ООО ""Спектр-Гарант""";ООО;5018074059;501801001;;;ЮЛ;141080, Московская обл., г.Королев, ул.Горького, д.33А, помещение 9.;Да;Нет;;;;;;;
"ЗАО ""Вела""";"ЗАО ""Вела""";ЗАО;7802065703;780201001;;;ЮЛ;194021, г.Санкт - Петербург, ул. Карбышева,д.7;Да;Нет;;;;;;;
"ЗАО ИНПК""РЭТ""";"ЗАО ИНПК""РЭТ""";ЗАО;7722253853;772201001;;;ЮЛ;111024, г. Москва, ул. Старообрядческая, 46А;Да;Нет;;;;;;;
"ООО ""Тексус-Инфо""";"ООО ""Тексус-Инфо""";ООО;7727763431;772701001;;;ЮЛ;117461, Россия, г. Москва,ул. Херсонская,  дом № 7, корп. 1, пом.2;Да;Нет;;;;;;;
"ООО ""Офисная техника""";"ООО ""Офисная техника""";ООО;6229036015;622901001;;;ЮЛ;390044, г.Рязань, Московское шоссе, д.20;Да;Нет;;;;;;;
"ООО ""ГидроСтрой""";"ООО ""ГидроСтрой""";ООО;3666177990;366601001;;;ЮЛ;394036, г. Воронеж,ул. Таранченко,д.29 б, офис 1;Да;Нет;;;;;;;
УФК по Липецкой области (Департамент финансов адм.г.Липецка(Департамент градостроительства и архитектуры адм. города Липецка));УФК по Липецкой области (Департамент финансов адм.г.Липецка(Департамент градостроительства и архитектуры адм. города Липецка));;4826044908;482601001;;;ЮЛ;398019, г.Липецк, пл.Театральная, 1;Да;Нет;;;;;;;
"ООО ""Отделка-Липецк""";"ООО ""Отделка-Липецк""";ООО;4826068000;482601001;;;ЮЛ;"398902, г.Липецк, ул.Ударников, д.37 ""А""";Да;Нет;;;;;;;
"ООО ""Добрыня""";"ООО ""Добрыня""";ООО;3123283202;312301001;;;ЮЛ;308006 Белгородская обл, г.Белгород, ул.Корочанская,д.85а;Да;Нет;;;;;;;
"ООО ""Пензкомпрессормаш-Сервис""";"ООО ""Пензкомпрессормаш-Сервис""";ООО;5835041670;583501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО Торговый Дом ""СанРемо""";"ООО Торговый Дом ""СанРемо""";ООО;3663074073;366301001;;;ЮЛ;304033, Воронежская обл., Воронеж г., Ленинградская ул., д.82, кор.А, оф.40;Да;Нет;;;;;;;
УФК по Липецкой области (Администрация  города  Усмани  Липецкой области  л/с 04463003040);УФК по Липецкой области (Администрация  города  Усмани  Липецкой области  л/с 04463003030);;4816007618;481601001;;;ЮЛ;399373, Липецкая обл, Усманский р-н, Усмань г, Ленина ул, дом № 40;Да;Нет;;;;;;;
"ООО ""Промышленная группа ЮГ""";"Общество с ограниченной ответственностью ""Промышленная группа ЮГ""";ООО;7704755177;770401001;;;ЮЛ;пер. Б. Саввинский, д. 9, стр. 2, оф. 307, г. Москва, Московская область, РФ, 119019;Да;Нет;;;;;;;
Муниципальное унитарное пассажирское эксплуатационное предприятие г. Липецка;Муниципальное унитарное пассажирское эксплуатационное предприятие г. Липецка;;4826003757;482601001;;;ЮЛ;;Да;Нет;;;;;;;
"МУП ""ВМО ГКХ""";"МУП ""ВМО ГКХ""";МУП;3126010475;312601001;;;ЮЛ;309996, Россия, Белгородская обл., Валуйский р-н, г. Валуйки, ул. Пролетарская,  дом № 2;Да;Нет;;;;;;;
"МУП БОЖФ ""Волоконовское""";"МУП БОЖФ ""Волоконовское""";МУП;3106005519;310601001;;;ЮЛ;309650, Россия, Белгородская обл., Волоконовский р-н, пгт. Волоконовка, ул. Ленина,  дом № 82;Да;Нет;;;;;;;
"Муниципальное Унитарное Предприятие ""Водоканал Волоконовский"" МУП ""Водоканал Волоконовский""";"Муниципальное Унитарное Предприятие ""Водоканал Волоконовский""";МУП;3106005364;310601001;;;ЮЛ;309650, Россия, Белгородская обл., Волоконовский р-н, пгт. Волоконовка, ул. Ленина,  дом № 86;Да;Нет;;;;;;;
"Вейделевское МУП ""Водоканал""";"Вейделевское МУП ""Водоканал""";МУП;3105003501;310501001;;;ЮЛ;309720, Россия, Белгородская обл., Вейделевский р-н, п. Вейделевка, ул. Центральная,  дом № 53;Да;Нет;;;;;;;
"ООО ""Красногвардейский Водоканал""";"ООО ""Красногвардейский Водоканал""";ООО;3111504721;311101001;;;ЮЛ;309921, Россия, Белгородская обл., Красногвардейский р-н, г. Бирюч, ул. Красная,  дом № 22;Да;Нет;;;;;;;
"ООО ""Единая управляющая компания""";"ООО ""Единая управляющая компания""";ООО;3127002614;312701001;;;ЮЛ;309186, Россия, Белгородская обл., Губкинский р-н, г. Губкин, ул. Скворцова,  дом № 1-А;Да;Нет;;;;;;;
"ООО ""НПФ ЦИРКОН""";"ООО ""НПФ ЦИРКОН""";ООО;7726211981;772601001;;;ЮЛ;г. Москва, ул. Академика Янгеля, д.6,  Российская Федерация, 113534;Да;Нет;;;;;;;
"ООО ""Промсервис-Центр""";"ООО ""Промсервис-Центр""";ООО;5074039241;507401001;;;ЮЛ;142111, Московская обл., Подольский р-н, Рязановский с.о., Симферопольское шоссе, д.20, стр.1;Да;Нет;;;;;;;
"ЗАО ""Камойл""";"ЗАО ""Камойл""";ЗАО;7729139290;772901001;;;ЮЛ;119602, г.Москва, ул. Академика Анохина,д8,стр.1;Да;Нет;;;;;;;
"ООО ЦТО ""Инфосервис""";"ООО ЦТО ""Инфосервис""";ООО;3123105111;312301001;;;ЮЛ;308000, Россия, Белгородская обл., г. Белгород, ул. Преображенская,  дом № 74-А;Да;Нет;;;;;;;
МУП ЖКХ Корочанское-сервис;МУП ЖКХ Корочанское-сервис;МУП;3110011650;311001001;;;ЮЛ;Белгородская область, г. Короча ул. Советская д,32;Да;Нет;;;;;;;
"Некоммерческое Партнерство ""Учебный центр ""Квалификация""";"Некоммерческое Партнерство ""Учебный центр ""Квалификация""";;5702007020;570201001;;;ЮЛ;РФ, Орловская область, г. Ливны, ул. Индустриальная, 2в;Да;Нет;;;;;;;
Бюро технической инвентаризации Советского района г.Воронежа;Бюро технической инвентаризации Советского района г.Воронежа;;3666072860;366502001;;;ЮЛ;394036, Россия, Воронежская обл., г. Воронеж, ул. 25 Октября,  дом № 45;Да;Нет;;;;;;;
Бюро технической инвентаризации Железнодорожного района г.Воронежа;Бюро технической инвентаризации Железнодорожного района;;3666072860;366601001;;;ЮЛ;394036, Россия, Воронежская обл., г. Воронеж, ул. 25 Октября,  дом № 45;Да;Нет;;;;;;;
"ООО ""Стройоптторг""";ООО «Стройоптторг»;ООО;3662155481;366201001;;;ЮЛ;394026, г. Воронеж, ул. Текстильщиков, д. 10;Да;Нет;;;;;;;
"ООО ""ТеплоПромКомплект""";"ООО ""ТеплоПромКомплект""";ООО;4823036507;482301001;;;ЮЛ;398600, г.Липецк, ул.Алмазная, д.6;Да;Нет;;;;;;;
"ООО ""ПКП ""Завод ВТО""";"ООО ""ПКП ""Завод ВТО""";ООО;7328501025;732801001;;;ЮЛ;432010, г.Ульяновск, ул. Мелекесская, д. 4, корп. 3;Да;Нет;;;;;;;
"ООО ""Туристическая фирма ""Орхидея""";"ООО ""Туристическая фирма ""Орхидея""";ООО;5751032615;575101001;;;ЮЛ;г. Орел, ул. Московская, .155а, к.1;Да;Нет;;;;;;;
"АО ""МХЗ""";"Акционерное общество ""Монтажхимзащита""";АО;7709066526;502901001;;;ЮЛ;109004, г. Москва, ул. Николоямская, д.55;Да;Нет;;;;;;;
"ООО ""Смарт Тим Сервис""";"ООО ""Смарт Тим Сервис""";ООО;7701831623;770101001;;;ЮЛ;Россия, 105062, г. Москва, Фурманный пер., д. 10, стр. 1;Да;Нет;;;;;;;
"ЗАО ""Институт системных технологий""";"ЗАО ""Институт системных технологий""";ЗАО;7716546523;771601001;;;ЮЛ;129347, г. Москва, ул. Егора Абакумова, д.10, кор.2;Да;Нет;;;;;;;
"ФГУП ""Ростехинвентаризация-Федеральное БТИ""";"ФГУП ""Ростехинвентаризация-Федеральное БТИ""";ФГУП;7701018922;463243001;;;ЮЛ;119415, г.Москва, просп.Вернадского, д. 37, корп. 2;Да;Нет;;;;;;;
"ООО ""ПИК""";"ООО ""ПИК""";ООО;7106062480;710701001;;;ЮЛ;300012, г. Тула, пр. Ленина, д. 87, офис 2, 3;Да;Нет;;;;;;;
"ООО ""ТоргАльянс""";"ООО ""ТоргАльянс""";ООО;7704734875;770401001;;;ЮЛ;119019, г.Москва, ул.Арбат, д.13/36, стр.2;Да;Нет;;;;;;;
"ООО Группа компаний ""Системы безопасности""";"ООО Группа компаний ""Системы безопасности""";ООО;7708660335;770801001;;;ЮЛ;107140, г. Москва, ул. Верхняя Красносельская, д.34;Да;Нет;;;;;;;
"ООО ""Модус Энерго""";"ООО ""Модус Энерго""";ООО;7707592474;770701001;;;ЮЛ;127030, Россия, г. Москва, ул. Долгоруковская,  дом № 29-106;Да;Нет;;;;;;;
"Открытое акционерное общество ""Воронежэнергопроект"" - филиал в г. Липецке";"ОАО ""Воронежэнергопроект"" - филиал в г. Липецке ";ОАО;3662084551;482643001;;;ЮЛ;394016,  г.Воронеж, ул. 45 Стрелковой Дивизии, 232 А;Да;Нет;;;;;;;
"ООО ""Гала""";"ООО ""Гала""";ООО;7118816170;711801001;;;ЮЛ;Тульская  область, Щекинский район, г. Советск, ул. Октябрьская, д. 2-б;Да;Нет;;;;;;;
"ООО ""Каталог подарков""";"ООО ""Каталог подарков""";ООО;7714805437;771401001;;;ЮЛ;123801, г. Москва, ул. Магистральная 4-я, д.5, стр. 5, ком. 304;Да;Нет;;;;;;;
